nome_arquivo,extensao_arquivo,tamanho_bytes,inicio,fim,duracao_segundos,endereco_ip,taxa_transferencia_bytes_por_segundo,status,motivo_falha
teste1.txt,.txt,2974272,2025-05-31T17:57:03.668496,2025-05-31T17:57:03.895642,0.227,192.168.1.19,13094098.069,SUCESSO,
teste10.txt,.txt,2996112,2025-05-31T17:57:03.990447,2025-05-31T17:57:04.188679,0.198,192.168.1.19,15114169.256,SUCESSO,
teste2.txt,.txt,2168740,2025-05-31T17:57:04.260737,2025-05-31T17:57:04.371705,0.111,192.168.1.19,19543832.456,SUCESSO,
teste3.txt,.txt,6010508,2025-05-31T17:57:04.453551,2025-05-31T17:57:04.719497,0.266,192.168.1.19,22600482.805,SUCESSO,
teste4.txt,.txt,10038168,2025-05-31T17:57:04.763345,2025-05-31T17:57:05.233934,0.471,192.168.1.19,21331072.337,SUCESSO,
teste5.txt,.txt,1115352,2025-05-31T17:57:05.312096,2025-05-31T17:57:05.346413,0.034,192.168.1.19,32501442.434,SUCESSO,
teste6.txt,.txt,2974272,2025-05-31T17:57:05.440623,2025-05-31T17:57:05.515952,0.075,192.168.1.19,39483757.915,SUCESSO,
teste7.txt,.txt,2996032,2025-05-31T17:57:05.606708,2025-05-31T17:57:05.689188,0.082,192.168.1.19,36324345.296,SUCESSO,
teste8.txt,.txt,2995243,2025-05-31T17:57:05.842009,2025-05-31T17:57:05.931384,0.089,192.168.1.19,33513208.392,SUCESSO,
teste9.txt,.txt,2974272,2025-05-31T17:57:06.026555,2025-05-31T17:57:06.131308,0.105,192.168.1.19,28393191.603,SUCESSO,
Imagens\img1.webp,.webp,1088754,2025-05-31T17:59:01.695659,2025-05-31T17:59:01.746523,0.051,192.168.1.19,21405198.176,SUCESSO,
Imagens\img10.webp,.webp,697972,2025-05-31T17:59:01.797496,2025-05-31T17:59:01.824483,0.027,192.168.1.19,25863267.499,SUCESSO,
Imagens\img2.webp,.webp,70454,2025-05-31T17:59:01.877418,2025-05-31T17:59:01.885889,0.008,192.168.1.19,8317081.809,SUCESSO,
Imagens\img3.webp,.webp,2151936,2025-05-31T17:59:01.951010,2025-05-31T17:59:02.034978,0.084,192.168.1.19,25628048.780,SUCESSO,
Imagens\img4.jpg,.jpg,10563862,2025-05-31T17:59:02.134184,2025-05-31T17:59:02.661580,0.527,192.168.1.19,20030227.761,SUCESSO,
Imagens\img4.webp,.webp,1344166,2025-05-31T17:59:02.710148,2025-05-31T17:59:02.776775,0.067,192.168.1.19,20174493.824,SUCESSO,
Imagens\img5.webp,.webp,11228,2025-05-31T17:59:02.823313,2025-05-31T17:59:02.826243,0.003,192.168.1.19,3832081.911,SUCESSO,
Imagens\img6.webp,.webp,9073794,2025-05-31T17:59:02.914474,2025-05-31T17:59:03.376549,0.462,192.168.1.19,19637058.919,SUCESSO,
Imagens\img7.webp,.webp,762556,2025-05-31T17:59:03.457291,2025-05-31T17:59:03.468143,0.011,192.168.1.19,70268706.229,SUCESSO,
Imagens\img8.webp,.webp,550318,2025-05-31T17:59:03.532963,2025-05-31T17:59:03.545700,0.013,192.168.1.19,43206249.509,SUCESSO,
Imagens\img9.webp,.webp,874842,2025-05-31T17:59:03.604334,2025-05-31T17:59:03.641516,0.037,192.168.1.19,23528642.892,SUCESSO,
PDFs\pdf1.pdf,.pdf,319106,2025-05-31T17:59:03.690600,2025-05-31T17:59:03.707021,0.016,192.168.1.19,19432799.464,SUCESSO,
PDFs\pdf10.pdf,.pdf,205474,2025-05-31T17:59:03.794129,2025-05-31T17:59:03.798869,0.005,192.168.1.19,43348945.148,SUCESSO,
PDFs\pdf2.pdf,.pdf,1797156,2025-05-31T17:59:03.876043,2025-05-31T17:59:03.971109,0.095,192.168.1.19,18904298.067,SUCESSO,
PDFs\pdf3.pdf,.pdf,188914,2025-05-31T17:59:04.036491,2025-05-31T17:59:04.040760,0.004,192.168.1.19,44252518.154,SUCESSO,
PDFs\pdf4.pdf,.pdf,638531,2025-05-31T17:59:04.114009,2025-05-31T17:59:04.160138,0.046,192.168.1.19,13842290.100,SUCESSO,
PDFs\pdf5.pdf,.pdf,99333,2025-05-31T17:59:04.206152,2025-05-31T17:59:04.208298,0.002,192.168.1.19,46287511.650,SUCESSO,
PDFs\pdf6.pdf,.pdf,64983,2025-05-31T17:59:04.269108,2025-05-31T17:59:04.289251,0.020,192.168.1.19,3226083.503,SUCESSO,
PDFs\pdf7.pdf,.pdf,133658,2025-05-31T17:59:04.361164,2025-05-31T17:59:04.367311,0.006,192.168.1.19,21743614.771,SUCESSO,
PDFs\pdf8.pdf,.pdf,415472,2025-05-31T17:59:04.467729,2025-05-31T17:59:04.474598,0.007,192.168.1.19,60485077.886,SUCESSO,
PDFs\pdf9.pdf,.pdf,205474,2025-05-31T17:59:04.537646,2025-05-31T17:59:04.540235,0.003,192.168.1.19,79364233.295,SUCESSO,
Videos\video1.mp4,.mp4,1196001,2025-05-31T17:59:04.591521,2025-05-31T17:59:04.624728,0.033,192.168.1.19,36016532.659,SUCESSO,
Videos\video10.mp4,.mp4,26958328,2025-05-31T17:59:04.711036,2025-05-31T17:59:06.887338,2.176,192.168.1.19,12387218.318,SUCESSO,
Videos\video2.mp4,.mp4,1286276,2025-05-31T17:59:06.993693,2025-05-31T17:59:07.093678,0.100,192.168.1.19,12864689.703,SUCESSO,
Videos\video3.mp4,.mp4,3149818,2025-05-31T17:59:07.187738,2025-05-31T17:59:07.509400,0.322,192.168.1.19,9792322.376,SUCESSO,
Videos\video4.mp4,.mp4,44271625,2025-05-31T17:59:07.603374,2025-05-31T17:59:10.964436,3.361,192.168.1.19,13171915.603,SUCESSO,
Videos\video5.mp4,.mp4,18753855,2025-05-31T17:59:11.011481,2025-05-31T17:59:12.007705,0.996,192.168.1.19,18824937.966,SUCESSO,
Videos\video6.mp4,.mp4,31479140,2025-05-31T17:59:12.051586,2025-05-31T17:59:13.545731,1.494,192.168.1.19,21068330.048,SUCESSO,
Videos\video7.mp4,.mp4,89983309,2025-05-31T17:59:13.594276,2025-05-31T17:59:25.084372,11.490,192.168.1.19,7831380.086,SUCESSO,
Videos\video8.mp4,.mp4,5590432,2025-05-31T17:59:25.161835,2025-05-31T17:59:26.059575,0.898,192.168.1.19,6227228.373,SUCESSO,
Videos\video9.mp4,.mp4,89307771,2025-05-31T17:59:26.107383,2025-05-31T17:59:37.944437,11.837,192.168.1.19,7544763.334,SUCESSO,
